ID	brilho	branco	full	440	470	495	530	595	634	660	684	cor	modopainel	bomdia	boanoite	tau	step	modotemp	temp	vent	pelt	densidade	mododil	dil	dildt	r	b	ir	ar	ima	ganho	ti	modoco2	co2	co2ref	dtco2	dil	dilDt	in	out
1	100	5	0	0	0	0	0	0	0	0	0		0	6	18			1	27			3000000							50	60			1	700						
2	100	5	0	0	0	0	0	0	0	0	0		0	6	18			1	27			3000000							50	60			1	700						
3	100	5	0	0	0	0	0	0	0	0	0		0	6	18			1	27			3000000							50	60			1	700						
4	100	5	0	0	0	0	0	0	0	0	0		0	6	18			1	27			3000000							50	60			1	700						
5	100	5	0	0	0	0	0	0	0	0	0		0	6	18			1	27			3000000							50	60			1	700						
6	100	5	0	0	0	0	0	0	0	0	0		0	6	18			1	27			3000000							50	60			1	700						
7	100	5	0	0	0	0	0	0	0	0	0		0	6	18			1	27			3000000							50	60	" "		1	700						
