ID	brilho	branco	full	440	470	495	530	595	634	660	684	cor	modopainel	bomdia	boanoite	tau	step	modotemp	temp	vent	pelt	densidade	mododil	dil	dildt	r	b	ir	ar	ima	ganho	ti	modoco2	co2	co2ref	dtco2	dil	dilDt	in	out
1	100	10	4.5	2.1	3.1	2.8	1.7	1.0	1.2	1.5	3.3		0	6	18			1	27			12000000				" "	" "	" "	80	90			1	600						
2	100	10	4.5	2.1	3.1	2.8	1.7	1.0	1.2	1.5	3.3		0	6	18			1	27			12000000				" "	" "	" "	80	90			1	600						
3	100	10	4.5	2.1	3.1	2.8	1.7	1.0	1.2	1.5	3.3		0	6	18			1	27			12000000				" "	" "	" "	80	90			1	600						
4	100	10	4.5	2.1	3.1	2.8	1.7	1.0	1.2	1.5	3.3		0	6	18			1	27			12000000				" "	" "	" "	80	90			1	600						
5	100	10	4.5	2.1	3.1	2.8	1.7	1.0	1.2	1.5	3.3		0	6	18			1	27			12000000				" "	" "	" "	80	90			1	600						
6	100	10	4.5	2.1	3.1	2.8	1.7	1.0	1.2	1.5	3.3		0	6	18			1	27			12000000				" "	" "	" "	80	90			1	600						
7	100	10	4.5	2.1	3.1	2.8	1.7	1.0	1.2	1.5	3.3		0	6	18			1	27			12000000				" "	" "	" "	80	90	" "		1	600						
