branco	9	10.1	3.7	6.4	13.5	5.3	8.2	16.4	6.4	10
full	9	10.1	3.6	6.5	13.6	5.4	8.2	17	7	10
440	9	8	2.9	5.1	7.5	3	4.5	9	3.5	5.5
470	9	8	3.2	4.8	8	3	5	9	3.6	5.4
495	9	8	3	5	8	3	5	9	3.8	5.2
530	9	6	2.4	3.6	6	2.4	3.6	9	3.7	5.3
595	7.5	2.7	1.4	1.3	2.6	1.1	1.5	7	2.9	4.1
634	7	7	2.7	4.3	8		8	9	3.6	5.4
660	7	7	2.7	4.3			0	9	3.9	5.1
684	7	7	2.9	4.1			0	9	3.9	5.1
